,name,department,rating,total_ratings,would take again,difficulty
935,John Yeazell,Physics,3.9,17 ratings,96%,3.1
936,Alisha Bohnsack,Chemistry,3.8,15 ratings,67%,3.3
937,Tinisha Hancock,Biology,3.9,20 ratings,100%,3.2
938,Jason Goldstein,Art History,5.0,33 ratings,100%,1.8
939,Daina Berry,History,4.9,5 ratings,100%,2.8
940,Alexandro Ramirez,Theater,0.0,0 ratings,N/A,0
941,Suzanne Scott,Film,3.9,8 ratings,63%,3.3
942,Elizabeth Pomeroy,Social Work,4.8,8 ratings,100%,1.4
943,Giang Tran,Mathematics,2.6,16 ratings,100%,3.9
944,Brianna Figueroa,Communication,3.0,1 ratings,N/A,5
945,Charles Anderson,Dance,4.0,1 ratings,N/A,4
946,Leonard Kleinman,Physics,0.0,0 ratings,N/A,0
947,Kathleen Feyh,Communication,0.0,0 ratings,N/A,0
948,David Small,Music,4.5,1 ratings,N/A,2
949,Katherine Jensen,Sociology,5.0,1 ratings,N/A,1
950,Hasan Genc,Engineering,0.0,0 ratings,N/A,0
951,Yukiko Asano,Languages,4.0,2 ratings,N/A,2.5
952,Harold Williams,Mathematics,0.0,0 ratings,N/A,0
953,Nicholaz Zufelt,Mathematics,0.0,0 ratings,N/A,0
954,Jules Elkins,Geography,4.5,8 ratings,89%,1.9
955,Tia Butler,Spanish Portuguese,5.0,5 ratings,100%,2.8
956,Travis Marcum,Music,5.0,1 ratings,100%,2
957,Shannon Mcgregor,Journalism,5.0,2 ratings,N/A,3
958,Sang-Hoon Park,Asian Studies,5.0,2 ratings,100%,1
959,Peter Rehberg,Ethnic Studies,4.0,1 ratings,N/A,3
960,Alexandria Garcia,Marine Sciences,5.0,5 ratings,100%,1
961,Andrew Henderson,Business,0.0,0 ratings,N/A,0
962,Elizabeth Picherit,Writing,4.8,2 ratings,100%,2.5
963,Marnie Ritchie,Communication,4.7,3 ratings,N/A,3
964,Theresa O'Halloran,Biology,4.8,7 ratings,100%,2.7
965,Martin Cox,Communication,5.0,1 ratings,N/A,4
966,Stephen Bright,Psychology,2.8,24 ratings,43%,2.5
967,Megan Hyska,Philosophy,3.3,3 ratings,67%,4.7
968,Benjamin Hardee,Government,3.7,9 ratings,72%,3
969,Marvin Whiteley,Biology,4.9,3 ratings,100%,3
970,Scott Hanna,Fine Arts,2.7,6 ratings,75%,1.8
971,Cornelia Loos,Linguistics,4.0,3 ratings,100%,3
972,Allison Myers,Art History,4.2,3 ratings,100%,3.7
973,James Cox,Literature,3.8,12 ratings,75%,3.5
974,Amina Zarrugh,Sociology,4.3,6 ratings,75%,3
975,Andrew Butler,Education,4.5,2 ratings,100%,3
976,Tomoko Sakuma,Asian Studies,4.8,5 ratings,100%,1.8
977,Evan Rap,History,4.3,3 ratings,N/A,2.3
978,Emily Sparvero,Education,3.7,3 ratings,100%,2
979,Amy Holland,Nursing,1.5,5 ratings,20%,3.8
980,Sara Saylor,English,4.3,2 ratings,N/A,3.5
981,James Bull,Biology,4.2,19 ratings,78%,2.7
982,Anton Dochtermann,Mathematics,4.2,6 ratings,100%,2.8
983,Laura Murphy,Nursing,0.0,0 ratings,N/A,0
984,Hannah Durham,Music,5.0,2 ratings,N/A,2.5
985,Matt Richardson,English,5.0,1 ratings,100%,1
986,Christopher Taylor,English,4.3,2 ratings,N/A,3
987,R.B. Brenner,Journalism,4.9,3 ratings,100%,1.7
988,Lucia Palmer,Communication,4.5,1 ratings,N/A,2
989,Patrick Vilim,Italian,4.8,2 ratings,100%,3
990,Cecil Lee,Physical Education,5.0,2 ratings,100%,1
991,Pam Harris,Education,5.0,1 ratings,N/A,3
992,Saba Vlach,Education,5.0,1 ratings,N/A,3
993,Barbara Jansen,Information Science,3.2,5 ratings,100%,3.6
994,Azfar Moin,Religion,2.8,5 ratings,50%,3.4
995,Anna Collette,Fine Arts,4.5,1 ratings,N/A,3
996,Lisa Thompson,Theater,3.3,2 ratings,N/A,2
997,Annie Silverstein,Film,3.0,1 ratings,N/A,4
998,Emily Durden,Sociology,4.0,6 ratings,100%,2.5
999,Lester Faigley,Writing,5.0,1 ratings,N/A,3
1000,Cyndy Karras,Information Science,3.5,1 ratings,N/A,3
1001,Andreas Christopoulos,Finance,1.5,1 ratings,N/A,4
1002,Lorinc Redei,Political Science,4.0,1 ratings,N/A,3
1003,Sheila Olmstead,Economics,5.0,1 ratings,N/A,1
1004,Erin Lentz,Social Science,4.5,1 ratings,N/A,2
1005,Philip Bobbitt,Law,3.0,1 ratings,N/A,3
1006,Kenneth Flamm,Economics,0.0,0 ratings,N/A,0
1007,Michael Mauk,Biology,4.5,10 ratings,92%,3.3
1008,Natalie Poulos,Nutrition,3.6,5 ratings,34%,3.6
1009,Thomas Hunt,Kinesiology Health,4.3,2 ratings,100%,3
1010,Jake Galgon,Philosophy,4.3,2 ratings,100%,1.5
1011,Dean Appling,Science,3.5,1 ratings,N/A,3
1012,Lizhen Lin,Mathematics,2.8,2 ratings,N/A,3
1013,Eric Korman,Mathematics,3.9,3 ratings,100%,3.3
1014,Elisa Valentini,Italian,5.0,2 ratings,100%,3
1015,Creighton Moench,Music,3.0,7 ratings,100%,3.1
1016,Michael Pesenson,Ethnic Studies,3.4,6 ratings,60%,2.5
1017,Per Urlaub,Ethnic Studies,4.0,4 ratings,100%,3.3
1018,Erika Grajeda,Sociology,3.0,1 ratings,N/A,4
1019,Jeremy Lupo,Philosophy,2.5,1 ratings,N/A,4
1020,Ockhee Bego,Social Science,4.0,7 ratings,60%,2
1021,yan zhang,Information Science,3.0,1 ratings,N/A,2
1022,Robert Gilbert,Civil Engineering,4.7,3 ratings,100%,3.7
1023,Ayelet Lushkov,Humanities,4.9,3 ratings,100%,2.7
1024,Martin Tombari,Education,4.2,14 ratings,84%,2.3
1025,Tan Bui,Engineering,4.0,1 ratings,100%,2
1026,Elizabeth Doss,Theater,0.0,0 ratings,N/A,0
1027,Chung-Hao Lee,Computer Science,5.0,1 ratings,N/A,2
1028,Seth Frei,Communication,4.9,4 ratings,100%,2.8
1029,Marina Potoplyak,Languages,5.0,8 ratings,100%,2.2
1030,Yekaterina Cotey,Languages,4.5,1 ratings,N/A,2
1031,Shu Chan,Asian Studies,1.3,3 ratings,N/A,3
1032,Tshepo Chery,History,5.0,7 ratings,100%,2.8
1033,William GBLERKPOR,Anthropology,0.0,0 ratings,N/A,0
1034,Melody Chatelle,Communication,0.0,0 ratings,N/A,0
1035,Joshua Baer,Computer Science,5.0,1 ratings,100%,4
1036,Joshua Sears,Writing,5.0,3 ratings,100%,2.3
1037,Scott Blackshire,Theater,2.8,21 ratings,60%,3.2
1038,Janice Todd,Kinesiology Health,3.5,1 ratings,N/A,3
1039,Daniel FitzPatrick,Education,5.0,7 ratings,100%,3
1040,Michael Drew,Biology,0.0,0 ratings,N/A,0
1041,Jesi Egan,English,5.0,2 ratings,100%,2
1042,Todd Hutner,Education,0.0,0 ratings,N/A,0
1043,Jonathan Drake,Philosophy,4.8,5 ratings,100%,3.2
1044,Ted Cruz,Law,0.0,0 ratings,N/A,0
1045,Michelle Mott,Sociology,3.0,3 ratings,0%,3
1046,Chad Brock,Biology,4.0,1 ratings,N/A,2
1047,David Sayers,Music,5.0,1 ratings,100%,2
1048,James Walker,Design,4.8,4 ratings,100%,3.8
1049,Anthony Webster,Anthropology,4.0,7 ratings,75%,3.3
1050,Blanca Chumbes,Education,1.0,1 ratings,N/A,5
1051,Elissa Marek,American Studies,3.0,3 ratings,100%,2.7
1052,Barbara Harlow,English,4.8,2 ratings,100%,1.5
1053,Edwin Roman-Ramirez,Spanish Portuguese,4.0,3 ratings,67%,3
1054,Gail Chovan,Design,4.5,1 ratings,N/A,2
1055,Mary Anne Taylor,Communication,4.7,7 ratings,100%,3.6
1056,Viorica Teodorescu,Linguistics,2.0,4 ratings,25%,4.3
1057,Jacqueline Henkel,Writing,4.0,2 ratings,100%,4
1058,Rebecca Young Brim,Biology,3.8,2 ratings,100%,2.5
1059,Shefali Patil,Management,4.5,4 ratings,100%,2.5
1060,Alessandro Previtero,Finance,2.0,1 ratings,N/A,2
1061,Yue Wang,Accounting,2.5,1 ratings,N/A,1
1062,Margaret Syverson,Writing,0.0,0 ratings,N/A,0
1063,Karen Wickett,International Studies,3.0,1 ratings,N/A,5
1064,Lance Hayden,International Studies,0.0,0 ratings,N/A,0
1065,Heath Shultz,Fine Arts,0.0,0 ratings,N/A,0
1066,James Denbow,Anthropology,3.0,2 ratings,50%,2
1067,Brandon Campitelli,Biology,5.0,1 ratings,100%,3
1068,Rafael Mendoza-Arriaga,Information Science,1.0,1 ratings,0%,3
1069,Tim Keitt,Biology,3.0,2 ratings,50%,3.5
1070,Michael Flexsenhar,Religion,4.0,2 ratings,100%,2.5
1071,Ahmed Siddiqi,Government,4.6,5 ratings,100%,3.6
1072,James Vaughn,History,4.5,11 ratings,91%,2.6
1073,Lucy Hunt,Humanities,4.0,1 ratings,100%,2
1074,Andrew Glover,Economics,4.7,3 ratings,100%,3.3
1075,Marcelo Behar,Engineering,2.0,5 ratings,20%,4.2
1076,Ayca Arkilic,Government,5.0,2 ratings,100%,4
1077,Sheena McFeely,Languages,0.0,0 ratings,N/A,0
1078,Adrian Ward,Marketing,4.8,5 ratings,80%,3.2
1079,Daniel Stockli,Geology,4.6,5 ratings,100%,2.8
1080,Natasa Pavlovic,Mathematics,3.7,3 ratings,67%,3.3
1081,Dwight Steward,Economics,4.5,8 ratings,88%,2.3
1082,Jennifer Miller,Geography,3.1,7 ratings,63%,3.6
1083,LaTashia Kiel,Nursing,1.0,1 ratings,0%,3
1084,Lubjana Beshaj,Mathematics,3.9,15 ratings,80%,3.5
1085,Kavita Radhakrishnan,Nursing,0.0,0 ratings,N/A,0
1086,Sarah Sipe,Chemistry,0.0,0 ratings,N/A,0
1087,Richard Meyer,Biology,1.0,1 ratings,0%,5
1088,Raymond Mooney,Computer Science,5.0,2 ratings,100%,2.5
1089,Megan Neely,Sociology,4.5,2 ratings,100%,2.5
1090,Yun-Sik Choi,Business,1.8,8 ratings,25%,3.4
1091,Jane Cohen,Law,5.0,2 ratings,100%,2
1092,Richard Cleary,Architecture,5.0,1 ratings,100%,3
1093,Abrias Abel,Spanish Portuguese,5.0,1 ratings,100%,2
1094,cristian paredes,Social Science,0.0,0 ratings,N/A,0
1095,Renee Acosta,Pharmacy,5.0,8 ratings,100%,1.1
1096,Davit Davtyan,Advertising,5.0,1 ratings,100%,2
1097,Abel Arias,Spanish Portuguese,0.0,0 ratings,N/A,0
1098,Karen Royall,English,5.0,2 ratings,100%,2.5
1099,Myranda Harris,Music,1.0,4 ratings,0%,5
1100,Michael Cramer,Advertising,3.0,1 ratings,100%,2
1101,Alexis Scott,Theater,0.0,0 ratings,N/A,0
1102,Matthew Sherman,Languages,5.0,1 ratings,100%,3
1103,Christine Gwillim,Theater,2.5,23 ratings,35%,3.4
1104,Abiodun Oluyomi,Health Science,3.0,3 ratings,34%,3.3
1105,Tim Andeen,Physics,3.5,10 ratings,60%,4
1106,Jack Donaho,Counseling,5.0,1 ratings,100%,2
1107,Jae Woo,Mathematics,5.0,2 ratings,100%,2.5
1108,Kevin Cokley,Political Science,4.7,3 ratings,67%,2.3
1109,Hogeun Seo,Film,4.0,2 ratings,100%,3
1110,Fahaad Siddiqui,Engineering,5.0,1 ratings,100%,1
1111,Katherine Cox,English,4.0,3 ratings,67%,1.7
1112,Ramna Walia,Communication,1.3,3 ratings,0%,2.7
1113,Stephen Berg,Medicine,0.0,0 ratings,N/A,0
1114,Brendan Gaughen,American Studies,4.2,21 ratings,81%,2.8
1115,Laura Wallace,English,4.0,2 ratings,100%,1.5
1116,Eriel Fauser,English,4.8,9 ratings,100%,1.9
1117,Jeremiah Palmer,Engineering,0.0,0 ratings,N/A,0
1118,Dale Stahl,Economics,0.0,0 ratings,N/A,0
1119,Brooke Miller,Psychology,3.0,1 ratings,0%,4
1120,Edwin Dorn,Government,3.3,3 ratings,67%,2.7
1121,Glenn Peers,Art History,4.1,7 ratings,100%,2.6
1122,Robert Bucci,Italian,5.0,4 ratings,100%,3.7
1123,Paola Bonifazio,Women's Studies,3.0,3 ratings,34%,3.7
1124,Matthew Chovanec,Middle Eastern Studies,4.5,2 ratings,100%,3
1125,Arash Fathi,Engineering,3.0,1 ratings,100%,3
1126,Guy Cole,Mathematics,3.6,5 ratings,80%,2.6
1127,Aater Suleman,Engineering,4.3,4 ratings,100%,4.2
1128,Amy Imes,Science,0.0,0 ratings,N/A,0
1129,Valerie Martinez,History,5.0,1 ratings,100%,4
1130,Rachel Union,Social Work,0.0,0 ratings,N/A,0
1131,Elena Kravchenko,Religion,0.0,0 ratings,N/A,0
1132,Kristin Neff,Psychology,5.0,1 ratings,100%,2
1133,Stephanie Rude,Psychology,5.0,1 ratings,100%,4
1134,Belem Lopez,Linguistics,4.7,6 ratings,100%,2.7
1135,Rachel Roepke,Writing,5.0,1 ratings,100%,3
1136,Karen Ewing,Languages,4.5,9 ratings,91%,2.9
1137,Lance Labun,Physics,2.5,17 ratings,30%,4.3
1138,Karina High,French Italian,5.0,5 ratings,100%,3.8
1139,Rachel Wise,Literature,5.0,1 ratings,100%,3
1140,Ronald Angel,Sociology,2.8,5 ratings,0%,3.2
1141,Jo Shea,English,3.0,1 ratings,0%,3
1142,Myoungkyu Lee,Engineering,2.0,1 ratings,0%,3
1143,Livia Eberlin,Chemistry,5.0,1 ratings,100%,3
1144,Paul MacDonald,Biology,2.1,18 ratings,28%,4.5
1145,Danny Law,Linguistics,4.3,3 ratings,100%,2.7
1146,Toni Falbo,Psychology,4.2,5 ratings,67%,1.8
1147,Melissa Dalton,Communication,4.2,6 ratings,72%,3.3
1148,Patricia Carter,Nursing,4.4,30 ratings,97%,1.5
1149,Paul Robbins,Mathematics,4.1,13 ratings,70%,2.7
1150,Stanley Roux,Biology,4.0,4 ratings,75%,3
1151,Maxence Leconte,French Italian,5.0,4 ratings,100%,3
1152,Max Leconte,French Italian,4.5,2 ratings,100%,3
1153,John Turci - Escobar,Music,5.0,1 ratings,100%,1
1154,Stephen Russell,Humanities,5.0,1 ratings,100%,3
1155,Keith Friedman,Engineering,4.5,2 ratings,100%,1
1156,Bryce Dalbey,Philosophy,3.4,8 ratings,50%,2.7
1157,Joe Tafoya,Government,4.8,22 ratings,96%,2.9
1158,Zaccaria Fulton,English,4.5,2 ratings,100%,3
1159,Kerri Harmon,Education,5.0,1 ratings,100%,1
1160,Brad Saad,Philosophy,2.0,3 ratings,0%,3.3
1161,Emily Harring,English,1.1,8 ratings,0%,4.5
1162,Christina Bambrick,Government,4.3,3 ratings,100%,3.3
1163,Jonathan Brown,History,3.2,5 ratings,60%,3
1164,Giorleny Rayo,Government,4.1,7 ratings,72%,3.3
1165,Michael Thomas,Anthropology,4.0,1 ratings,100%,2
1166,Michele Rountree,Social Work,5.0,2 ratings,100%,4
1167,Cal Streeter,Social Work,4.3,4 ratings,100%,1.8
1168,Zachary Hines,English,5.0,7 ratings,100%,3.3
1169,Jonathan Hanselman,Mathematics,4.0,1 ratings,100%,3
1170,Ellen Bartel,Theater,0.0,0 ratings,N/A,0
1171,Jorge Perez,Spanish Portuguese,4.8,7 ratings,100%,2.6
1172,Nicole Schrag,English,3.0,2 ratings,50%,2
1173,Rachel Moyer-Trimyer,Counseling,4.2,6 ratings,84%,1.7
1174,James Erskine,Physics,1.3,15 ratings,7%,4.4
1175,Robert van de Geijn,Computer Science,4.5,8 ratings,88%,2.4
1176,Yingda Zhai,Management Info Systems,4.7,3 ratings,100%,3
1177,Pete Kunze,Film,4.9,15 ratings,100%,2.5
1178,Karen Schlag,Communication,4.2,5 ratings,80%,2
1179,Corey McZeal,Sociology,4.8,13 ratings,100%,1.7
1180,John Benjamin,Languages,0.0,0 ratings,N/A,0
1181,Angelina Locker,Anthropology,4.3,4 ratings,100%,2.3
1182,Tony Speier,Law,5.0,1 ratings,100%,1
1183,Caitlin O'Neil,French Italian,5.0,1 ratings,100%,3
1184,Sohyun Choi,Communication,2.0,2 ratings,0%,5
1185,Marilyn Felkner,Kinesiology Health,0.0,0 ratings,N/A,0
1186,Martin Lockerd,English,4.0,3 ratings,100%,3.3
1187,Vicki Packheiser,Social Work,5.0,2 ratings,100%,2
1188,Cortney McEniry,Theater,5.0,1 ratings,100%,3
1189,Geraldine Heng,English,5.0,5 ratings,100%,3.4
1190,Danna Gurari,Information Science,5.0,2 ratings,100%,3
1191,Kevin Parme,Music,3.9,15 ratings,74%,2.7
1192,Robert Oshana,Computer Science,2.0,1 ratings,0%,5
1193,Boyoung Kim,Languages,0.0,0 ratings,N/A,0
1194,Trent Thurman,Management,5.0,5 ratings,100%,2.6
1195,Yu Chen,Sociology,4.0,1 ratings,100%,3
1196,Phillip Cantu,Sociology,0.0,0 ratings,N/A,0
1197,Stephen Dadugblor,Writing,0.0,0 ratings,N/A,0
1198,Emily Harring,Writing,0.0,0 ratings,N/A,0
1199,Amrita Mishra,Writing,0.0,0 ratings,N/A,0
1200,Chienyn Chi,Writing,3.0,1 ratings,100%,3
1201,Kayla Shearer,Writing,0.0,0 ratings,N/A,0
1202,Anushka Jasraj,Writing,0.0,0 ratings,N/A,0
1203,Jeremy Goheen,Writing,4.3,3 ratings,100%,2.7
1204,Gabriella Rodriguez,Writing,5.0,1 ratings,100%,2
1205,Kristin Canfield,Writing,3.0,2 ratings,50%,3
1206,Erica Brozovsky,Writing,5.0,1 ratings,100%,3
1207,Peter Voss,Writing,4.8,4 ratings,100%,2
1208,Delia Byrnes,Writing,4.3,3 ratings,100%,2.7
1209,Daniel Bolnick,Biology,0.0,0 ratings,N/A,0
1210,Zachary Bennett,Government,3.7,6 ratings,50%,3.8
1211,Amy Hyne-Sutherland,Asian Studies,4.8,4 ratings,100%,3.3
1212,Casey Dougal,Finance,3.0,4 ratings,50%,3.2
1213,Jason Escandell,English,4.5,2 ratings,100%,2.5
1214,Michael Amoruso,Religion,5.0,1 ratings,100%,2
1215,David Bryan,Computer Science,4.0,1 ratings,100%,4
1216,Thomas Tegtmeyer,Mathematics,4.8,5 ratings,100%,1.6
1217,Nick Hamel,Theater,2.2,5 ratings,20%,3.6
1218,Keffrelyn Brown,Ethnic Studies,0.0,0 ratings,N/A,0
1219,Robin Williams,Art History,4.0,1 ratings,100%,2
1220,Anne McCreary,French Italian,5.0,7 ratings,100%,3.3
1221,Eva Dessein,French Italian,4.0,1 ratings,100%,3
1222,Gaëlle Bouaziz,French Italian,4.0,1 ratings,100%,3
1223,Olla Al-Shalchi,Middle Eastern Studies,5.0,5 ratings,100%,4
1224,Jonathan Roeltgen,Science,2.3,3 ratings,0%,2.7
1225,Lori Steiker,Social Work,4.7,8 ratings,88%,2.3
1226,Becky Thompson,Spanish Portuguese,0.0,0 ratings,N/A,0
1227,Marta Zarzycka,Women's Studies,0.0,0 ratings,N/A,0
1228,John Durst,Fine Arts,5.0,2 ratings,100%,3
1229,Zachary Williamson,Education,3.7,6 ratings,84%,1.2
1230,Victoria DeFrancesco Soto,Government,5.0,1 ratings,100%,3
1231,Keith Syska,Business,1.0,1 ratings,0%,3
1232,Zenzi Griffin,Psychology,2.0,2 ratings,0%,3
1233,David Roche,English,5.0,1 ratings,100%,4
1234,Blerta Xhemalce,Biology,3.3,3 ratings,50%,4
1235,Ronghuo Zheng,Accounting,4.3,3 ratings,84%,2
1236,Jessie Raye Bauer,Psychology,0.0,0 ratings,N/A,0
1237,Ricardo Velasco,Languages,2.0,3 ratings,0%,3.7
1238,Ramon Mendoza,History,4.8,21 ratings,86%,4.2
1239,Alec Arellano,Government,2.8,4 ratings,50%,3
1240,Omar Awapara,Government,4.3,7 ratings,100%,2.6
1241,Luke Perez,Government,2.9,7 ratings,58%,3.5
1242,Tamara Bell,Communication,4.3,6 ratings,72%,3.2
1243,Ryan Denlinger,Mathematics,1.9,9 ratings,34%,3.3
1244,Miguel Campinho,Music,5.0,1 ratings,100%,3
1245,Aaron Curry,Theater,5.0,1 ratings,100%,4
1246,Yunyi Shen,Mathematics,2.0,27 ratings,34%,3.7
1247,Mary Neuberger,History,0.0,0 ratings,N/A,0
1248,Pamela Powell,Mathematics,5.0,4 ratings,100%,2.3
1249,Angela Nonaka,Social Work,3.7,3 ratings,67%,3
1250,Andrew Ingram,Philosophy,4.5,2 ratings,100%,1.5
1251,Paola D'Amora,Italian,5.0,1 ratings,100%,3
1252,Shalene Jha,Biology,2.3,4 ratings,40%,4
1253,Cristian Paredes,Sociology,1.0,2 ratings,0%,4
1254,Shane Whalley,Social Work,4.3,9 ratings,90%,1.6
1255,Keith Leisner,English,0.0,0 ratings,N/A,0
1256,Wilson Geisler,Psychology,3.0,3 ratings,34%,3.3
1257,Prabhudev Konana,Management Info Systems,4.5,4 ratings,75%,4
1258,Kimberlee Korte,Human Dev Family Sciences,0.0,0 ratings,N/A,0
1259,Severine Letalleur,English,0.0,0 ratings,N/A,0
1260,Alejandro Omidsalar,English,4.0,2 ratings,50%,3
1261,Joshua Kopin,American Studies,4.5,2 ratings,100%,2.5
1262,David Johnson,Biology,0.0,0 ratings,N/A,0
1263,David Donaldson,Journalism,3.5,4 ratings,50%,3
1264,Ana Todd,Nursing,5.0,1 ratings,100%,1
1265,Luisa Nardini,Music,4.0,1 ratings,100%,2
1266,Hal Alper,Engineering,3.7,14 ratings,67%,4.6
1267,Steven Vokes,Biology,3.3,3 ratings,67%,3.7
1268,Richard Brown,Biology,0.0,0 ratings,N/A,0
1269,Carey Pulverman,Psychology,5.0,1 ratings,100%,3
1270,Dan Li,Advertising,4.0,3 ratings,100%,3
1271,Sharon Rush,Pharmacy,4.0,2 ratings,89%,3
1272,Cristina Cabello,Spanish Portuguese,5.0,1 ratings,100%,3
1273,Cesar Salgado,Spanish Portuguese,3.3,7 ratings,70%,3.6
1274,Pilar Zazueta,History,5.0,1 ratings,100%,2
1275,Mehmet Ayvaci,Management & Info Systems,1.9,9 ratings,12%,3.3
1276,Susan Rather,Art History,2.7,7 ratings,43%,3.7
1277,Joel Neibert,Mathematics,0.0,0 ratings,N/A,0
1278,Jennifer Wilks,English,4.0,2 ratings,50%,3.5
1279,Minou Arjomand,English,5.0,2 ratings,100%,3.5
1280,Yongfeng Liu,Asian Studies,4.0,3 ratings,84%,4.3
1281,Prudhvi Potluri,Engineering,0.0,0 ratings,N/A,0
1282,Michael Findley,Government,5.0,2 ratings,100%,2.5
1283,Caroline Barta,Writing,2.5,2 ratings,0%,3.5
1284,Thomas Bell,Government,4.3,3 ratings,100%,3
1285,Timothy Piper,Film,5.0,6 ratings,100%,2.8
1286,Seth Schwaiger,Fine Arts,4.8,4 ratings,100%,2.2
1287,Joshua Urich,Religion,5.0,1 ratings,100%,4
1288,Anne Marsh,French & Italian,3.0,1 ratings,0%,3
1289,Louis Harrison,Physical Education,4.8,7 ratings,100%,1.6
1290,Xuan Qin,Music,3.5,2 ratings,50%,1.5
1291,Ryan Morrison,Spanish Portuguese,4.3,3 ratings,100%,4
1292,Amy Vidor,French Italian,4.4,5 ratings,80%,3
1293,Jeffery Patterson,Business,2.5,2 ratings,50%,3.5
1294,Nitya Nayar,Economics,3.0,2 ratings,50%,4
1295,Richard Murphy,Economics,5.0,1 ratings,100%,2
1296,Angeline Scheinbaum,Advertising,2.5,2 ratings,50%,3.5
1297,Laura Rojeski,Education,4.7,7 ratings,100%,2.1
1298,Benjamin Schmidt,Mathematics,4.9,17 ratings,100%,2.7
1299,Cindy-Lou Holland,Writing,5.0,2 ratings,100%,3
1300,Edwin Whitewolf,American Studies,5.0,2 ratings,100%,2.5
1301,John Gonzaacutelez,English,0.0,0 ratings,N/A,0
1302,John Gonzalez,English,3.0,4 ratings,50%,4
1303,Andreas Matouschek,Chemistry,5.0,9 ratings,100%,2.5
1304,Matteo Vestrucci,Mathematics,5.0,1 ratings,100%,2
1305,Dananjaya Appulage,Chemistry,3.0,5 ratings,67%,3.8
1306,Fred Jenga,Communication,3.3,3 ratings,67%,2.3
1307,Kyle Bruner,Biology,0.0,0 ratings,N/A,0
1308,Xavier Livermon,Women's Studies,4.5,2 ratings,100%,1.5
1309,Sri Jonnalagadda,Asian Studies,5.0,2 ratings,100%,2.5
1310,William Schweigert,Art History,5.0,2 ratings,100%,2.5
1311,Manfred Fink,Physics,5.0,1 ratings,100%,2
1312,James O'Connor,Engineering,4.0,2 ratings,50%,2.5
1313,Naomi Reed,Anthropology,4.5,2 ratings,100%,1
1314,Ramona Broussard,Information Science,3.0,2 ratings,50%,1
1315,Michael Peterson,Management,5.0,1 ratings,100%,3
1316,Wonsuck Kim,Geology,5.0,4 ratings,100%,4
1317,Jamie Cox,English,5.0,1 ratings,100%,3
1318,Megan Campbell Regnier,Communication,4.0,2 ratings,50%,2.5
1319,Kurt Cousins,Sociology,1.0,1 ratings,0%,3
1320,Shelley Payne,Biology,4.1,11 ratings,73%,4.4
1321,Li Kang,Mathematics,4.0,2 ratings,100%,2
1322,Ronald Matthews,Engineering,2.0,2 ratings,0%,2.5
1323,Emin Ulug,Biology,5.0,1 ratings,100%,3
1324,Bryan Davis,Biology,0.0,0 ratings,N/A,0
1325,Raisika Harshey,Biology,2.3,4 ratings,60%,4.8
1326,Dorothy Overbey,Dance,0.0,0 ratings,N/A,0
1327,Susan Somers-Willett,Women's Studies,5.0,2 ratings,100%,2
1328,Stella Offner,Astronomy,4.0,10 ratings,67%,2.6
1329,Einav Zamir,Art History,4.0,4 ratings,75%,1.5
1330,Stephen Gray,Management,5.0,1 ratings,100%,3
1331,Lewis Robert,Communication,3.5,7 ratings,58%,3
1332,Iris Ma,Asian Studies,4.3,4 ratings,75%,3
1333,Derek Haderlie,Philosophy,5.0,1 ratings,100%,1
1334,Sam Gunningham,Mathematics,5.0,1 ratings,100%,4
1335,Peter Hess,Ethnic Studies,4.0,8 ratings,88%,2.3
1336,Nicole Burrowes,History,5.0,4 ratings,100%,3.2
1337,Tina Melcher,Education,3.0,2 ratings,50%,3.5
1338,Sequoia Maner,Literature,5.0,1 ratings,100%,3
1339,Amit Bhasin,Civil Engineering,5.0,2 ratings,100%,3.5
1340,Nicole McLagan,Kinesiology amp Health,4.5,2 ratings,75%,1
1341,Jeeyun Oh,Advertising,4.0,2 ratings,50%,3
1342,So Young Lee,Advertising,3.0,1 ratings,0%,3
1343,Aloysious Martinich,Philosophy,3.0,5 ratings,40%,2.6
1344,Phoebe Long,Education,5.0,3 ratings,100%,2
1345,Lingzi Zhong,Communication,4.0,3 ratings,67%,3.7
1346,Henry Quillen,Government,0.0,0 ratings,N/A,0
1347,Mary Gerwels,Education,5.0,3 ratings,100%,3
1348,Jennifer Hensley,Nursing,4.8,8 ratings,100%,1.3
1349,Denise Ekberg,Education,4.7,3 ratings,67%,2
1350,Zhengyu Zhang,Communication,5.0,1 ratings,100%,4
1351,Angela Richards,Psychology,4.4,5 ratings,80%,1.2
1352,Yaguang Zhu,Communication,0.0,0 ratings,N/A,0
1353,Xiaobo Lu,Government,4.4,5 ratings,91%,4
1354,Derek Epp,Government,4.0,19 ratings,78%,3.2
1355,Amanda Gray,Mexican American Studies,2.0,2 ratings,0%,4
1356,Sepehr Vakil,Education,0.0,0 ratings,N/A,0
1357,Eric Knuth,Education,0.0,0 ratings,N/A,0
1358,Diane Coffey,Sociology,3.6,5 ratings,80%,2.8
1359,Anousha Shahsavari,Middle Eastern Studies,5.0,2 ratings,100%,3.5
1360,Vera Ioudina,Economics,2.8,9 ratings,34%,3.7
1361,Sabine Hake,American Studies,2.5,2 ratings,34%,2.5
1362,Jaimie Davis,Nutrition,5.0,1 ratings,100%,3
1363,Maya Henry,Communication,5.0,3 ratings,100%,1.3
1364,Howard Ochman,Biology,0.0,0 ratings,100%,0
1365,Angela Richards,Education,5.0,1 ratings,100%,1
